title,image_url,price,link
Shoulder Bag,https://us.brandymelville.com/cdn/shop/files/MU767F6AMR1M888_0_533x.jpg?v=1691798714,$40,https://us.brandymelville.com/products/shoulder-bag-2
Eyelet Scrunchie,https://us.brandymelville.com/cdn/shop/files/MU65002D0000_0_533x.jpg?v=1691798717,$3,https://us.brandymelville.com/products/eyelet-scrunchie-2
Navy Heart Socks,https://us.brandymelville.com/cdn/shop/files/MU919A02BSH888_0_533x.jpg?v=1691798647,$5,https://us.brandymelville.com/products/navy-heart-socks-1
Shoulder Bag,https://us.brandymelville.com/cdn/shop/files/MU794F27S352888_0_533x.jpg?v=1691780797,$24,https://us.brandymelville.com/products/shoulder-bag-1
Leather Shoulder Bag,https://us.brandymelville.com/cdn/shop/files/MU798F6AMR11888_01_533x.jpg?v=1691780795,$42,https://us.brandymelville.com/products/leather-shoulder-bag
Messenger Bag,https://us.brandymelville.com/cdn/shop/files/MU707G6AMR1M888_0_533x.jpg?v=1691780800,$42,https://us.brandymelville.com/products/messenger-bag
Navy Heart Socks,https://us.brandymelville.com/cdn/shop/files/MU919A02BLG888_0_533x.jpg?v=1691780815,$5,https://us.brandymelville.com/products/navy-heart-socks
Heart Locket Necklace,https://us.brandymelville.com/cdn/shop/files/MU307J022SS888_0_533x.jpg?v=1691715310,$12,https://us.brandymelville.com/products/heart-locket-necklace
Tote Bag,https://us.brandymelville.com/cdn/shop/files/MU706G27SR1M888_0_533x.jpg?v=1691611131,$36,https://us.brandymelville.com/products/tote-bag-2
Blue Heart Necklace,https://us.brandymelville.com/cdn/shop/files/MU373J24D00888_0_533x.jpg?v=1691611134,$12,https://us.brandymelville.com/products/blue-heart-necklace-1
Mini Duffle Bag,https://us.brandymelville.com/cdn/shop/files/MU761F6AKR1C888_02_533x.jpg?v=1689985060,$58,https://us.brandymelville.com/products/mini-duffle-bag-2
Black Bead Chain Necklace,https://us.brandymelville.com/cdn/shop/files/MU306J60NSS888_0_533x.jpg?v=1689812185,$14,https://us.brandymelville.com/products/stainless-steal-black-bead-chain-necklace
Diamond Vine Earrings,https://us.brandymelville.com/cdn/shop/files/MU534E60900888_0_533x.jpg?v=1689786788,$4,https://us.brandymelville.com/products/diamond-vine-earrings
Cross Necklace,https://us.brandymelville.com/cdn/shop/files/MU393I209SS888_0_533x.jpg?v=1689209613,$14,https://us.brandymelville.com/products/stainless-steal-rhinestone-cross-necklace
Radio Silence Tape Tote,https://us.brandymelville.com/cdn/shop/files/MU740D33BT9700_0_533x.jpg?v=1689094696,$10,https://us.brandymelville.com/products/radio-silence-tape-tote
Shoulder Bag,https://us.brandymelville.com/cdn/shop/files/MU794F6AM352888_0_533x.jpg?v=1689094698,$24,https://us.brandymelville.com/products/shoulder-bag
Eyelet Scrunchie,https://us.brandymelville.com/cdn/shop/files/MU6501220000_0_533x.jpg?v=1689094691,$3,https://us.brandymelville.com/products/eyelet-scrunchie-1
Pocket Mini Purse,https://us.brandymelville.com/cdn/shop/files/MU702G6AMR1M888_02_533x.jpg?v=1688950128,$25,https://us.brandymelville.com/products/pocket-mini-purse
Mini Backpack,https://us.brandymelville.com/cdn/shop/files/MU778F27CR1C888_0_533x.jpg?v=1688950123,$32,https://us.brandymelville.com/products/mini-backpack
Pocket Purse,https://us.brandymelville.com/cdn/shop/files/MU786F2ANR13888_0_533x.jpg?v=1688950172,$25,https://us.brandymelville.com/products/pocket-purse
Corduroy Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU795F27SCD888_0_533x.jpg?v=1688950133,$30,https://us.brandymelville.com/products/corduroy-tote-bag-1
Denim Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU795F04CDE888_01_533x.jpg?v=1688950177,$30,https://us.brandymelville.com/products/denim-tote-bag-1
Denim Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU795F001DE888_0_533x.jpg?v=1688950131,$30,https://us.brandymelville.com/products/denim-tote-bag
Mini Purse,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU799F6AMR1M888_0_533x.jpg?v=1688950154,$22,https://us.brandymelville.com/products/mini-purse-1
Mini Purse,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU700G6AMR1M888-01_533x.jpg?v=1688950170,$22,https://us.brandymelville.com/products/mini-purse
Corduroy Saddle Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU745F6AM33T888_0_533x.jpg?v=1688777108,$42,https://us.brandymelville.com/products/corduroy-saddle-bag
Reading Cherub Totebag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU740D33BTRB00_0_533x.jpg?v=1687796145,$10,https://us.brandymelville.com/products/reading-cherub-totebag
Fanny Pack,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU788F6ANR11888_0_533x.jpg?v=1687215141,$22,https://us.brandymelville.com/products/fanny-pack
Katherine Baseball Cap,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU883CBG00888_0_533x.jpg?v=1686945467,$16,https://us.brandymelville.com/products/katherine-baseball-cap-3
Katherine Baseball Cap,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU883CBGRS888_01_533x.jpg?v=1686880361,$18,https://us.brandymelville.com/products/katherine-faux-suede-brim-baseball-cap
Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU782F27SR1M888_0_533x.jpg?v=1686866053,$50,https://us.brandymelville.com/products/extra-large-faux-suede-and-real-leather-tote-bag
Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU789F27SR1M888_0_533x.jpg?v=1686866096,$40,https://us.brandymelville.com/products/faux-suede-boat-tote-with-leather-straps
Katherine Mesh Cap,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU884P2727S888_01_533x.jpg?v=1686866048,$14,https://us.brandymelville.com/products/katherine-mesh-cap-3
Shoulder Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU793F6AM392888_0_533x.jpg?v=1686866075,$28,https://us.brandymelville.com/products/faux-leather-plaid-lining-mini-bag
Saddle Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU797F6AMR14888_0_533x.jpg?v=1686866171,$35,https://us.brandymelville.com/products/brown-faux-leather-saddle-bag
Navy Backpack,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU783F4DMR14888_0_8ba505c6-b4f8-4629-a1e2-e5cd5e8bbe8f_533x.jpg?v=1691798699,$38,https://us.brandymelville.com/products/navy-backpack-1
Cylinder Purse,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU701G04CR14888_0_533x.jpg?v=1686794111,$22,https://us.brandymelville.com/products/denim-cylinder-purse
Denim Pocket Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU791F04CDE888_02_533x.jpg?v=1686794124,$22,https://us.brandymelville.com/products/denim-pocket-tote-bag
Always On My Mind Heart Rope Choker,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU376J2AN00888_0_533x.jpg?v=1686779742,$8,https://us.brandymelville.com/products/silver-always-on-my-mind-heart-rope-choker
Teddy Bear Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU740D33BBET00_01_533x.jpg?v=1686682451,$10,https://us.brandymelville.com/products/teddy-bear-tote-bag
Mini Backpack,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU778F6A4R14888_0_533x.jpg?v=1686432670,$46,https://us.brandymelville.com/products/mini-navy-blue-faux-leather-backpack
Colorblock Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MRRB049-YR17S00500072_0_533x.jpg?v=1686156273,$28,https://us.brandymelville.com/products/large-colorblock-tote-bag
Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU769F6AMR1M888_00_533x.jpg?v=1684858508,$32,https://us.brandymelville.com/products/brown-faux-suede-and-leather-tote
Snow Lodge Greater Yellowstone Bear Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU740D33MBSL888_0_533x.jpg?v=1684706924,$12,https://us.brandymelville.com/products/snow-lodge-greater-yellowstone-bear-tote-bag
Duffle Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU782D6APCD888_001_533x.jpg?v=1684859827,$55,https://us.brandymelville.com/products/corduroy-duffle-bag
Shoulder Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU763F6ANR11888_0_533x.jpg?v=1683823331,$42,https://us.brandymelville.com/products/black-basic-shoulder-purse
Santa Barbara Heart Necklace,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU359J22RSB888_0_533x.jpg?v=1683823341,From $8,https://us.brandymelville.com/products/silver-santa-barbra-heart-necklace
Coin Purse,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU781F6AMCD888_00_533x.jpg?v=1683823336,$12,https://us.brandymelville.com/products/small-brown-corduroy-coin-purse
California Heart Necklace,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU359J367CA888_01_0d5caae5-51f4-4060-a7bf-05e81eec6880_533x.jpg?v=1684173171,From $8,https://us.brandymelville.com/products/silver-california-heart-necklace
Hoop Earring Set,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU525E60S00888_0_533x.jpg?v=1683780042,$6,https://us.brandymelville.com/products/gold-and-silver-hoop-earring-set
Mini Hoop Earrings,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU526E06C00888_00_533x.jpg?v=1684858531,$4,https://us.brandymelville.com/products/pink-mini-hoop-earrings
Rectangle Hoop Earrings,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU527E367CP888_00_533x.jpg?v=1684858539,From $6,https://us.brandymelville.com/products/copper-rectangle-hoop-earrings
Rhinestone Heart Stud Earrings,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU529E367CP888_0_533x.jpg?v=1683780049,$5,https://us.brandymelville.com/products/copper-faux-rhinestone-heart-stud-earrings
Thin Hoop Earring Set,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU533E60S00888_00_533x.jpg?v=1684858518,$6,https://us.brandymelville.com/products/gold-and-silver-thin-hoop-earring-set
Coin Purse,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU781F6A5R1V888_0_533x.jpg?v=1686432704,$12,https://us.brandymelville.com/products/small-brown-coin-purse
Buckle Purse,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU784F6AMR14888_0_533x.jpg?v=1683765288,$52,https://us.brandymelville.com/products/large-brown-corduroy-and-leather-buckle-purse
Jade Ring,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU412G367CPV888_0_533x.jpg?v=1683664441,$6,https://us.brandymelville.com/products/copper-faux-jade-ring
Chain Cross Necklace,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU364J22R00888_0_533x.jpg?v=1683664466,$12,https://us.brandymelville.com/products/silver-long-chain-cross-necklace
Rhinestone Necklace,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU366J60900888_0_533x.jpg?v=1683664426,$12,https://us.brandymelville.com/products/gold-faux-rhinestone-necklace
Sleeping Cherub Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU740D33BTMB00-03_533x.jpg?v=1683913830,$10,https://us.brandymelville.com/products/sleeping-cherub-tote
Basic Socks,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU936B00200888_00_533x.jpg?v=1683578002,$6,https://us.brandymelville.com/products/basic-socks
Gold Heart Locket Necklace,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU302E60A00888_01_533x.jpg?v=1682467307,$8,https://us.brandymelville.com/products/gold-heart-locket-necklace
Boston Heart Necklace,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU360J367BST888_0_533x.jpg?v=1682449690,$10,https://us.brandymelville.com/products/copper-boston-heart-necklace
Austin Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU740D33CAUS888_0_533x.jpg?v=1682449682,$10,https://us.brandymelville.com/products/austin-tote-bag
Boston Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU740D33CBST888_0_533x.jpg?v=1682449664,$10,https://us.brandymelville.com/products/boston-tote-bag
Malibu Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU740D33CMAL888_02_533x.jpg?v=1682449634,$10,https://us.brandymelville.com/products/malibu-tote-bag-1
Georgetown Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU740D33CGGT888_0_533x.jpg?v=1682449694,$10,https://us.brandymelville.com/products/georgetown-tote-bag
Backpack,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU783F33MR1C888_02_533x.jpg?v=1682449659,$38,https://us.brandymelville.com/products/ivory-backpack
Heart Pendant Necklace,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU365J06000888_01_533x.jpg?v=1682391834,$6,https://us.brandymelville.com/products/gold-heart-pendant-necklace
Teddy Bear Choker,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU369J22R00888_0_533x.jpg?v=1683650996,$6,https://us.brandymelville.com/products/silver-teddy-bear-choker
Gold Sacred Heart Necklace,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU355J60A00888_00_533x.jpg?v=1683130536,$10,https://us.brandymelville.com/products/gold-sacred-heart-necklace
Malibu Heart Necklace,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU359J22RMAL888_0_533x.jpg?v=1682377313,$8,https://us.brandymelville.com/products/silver-malibu-heart-necklace
Messenger Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/MU755F6AVR14888_0_533x.jpg?v=1681735178,$62,https://us.brandymelville.com/products/canvas-and-leather-messenger-bag
Sleeping Baby Coin Purse,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/MU712B2APTMB888_0_533x.jpg?v=1681735153,$8,https://us.brandymelville.com/products/sleeping-baby-coin-purse
Battistero Di San Giovanni Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/MU740D33BBGF00_0_533x.jpg?v=1680718692,$10,https://us.brandymelville.com/products/battistero-di-san-giovanni-tote-bag
Pocket Purse,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/MU786F6AMR1C888_0_533x.jpg?v=1680718719,$25,https://us.brandymelville.com/products/corduroy-pocket-purse
Vatican Roma Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/MU740D33BSPR00_0_533x.jpg?v=1680718686,$10,https://us.brandymelville.com/products/vatican-roma-tote-bag
Nashville Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/MU740DG01NA00_0_533x.jpg?v=1680643325,$10,https://us.brandymelville.com/products/nashville-tote
Chill Since Diamond Head Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/MU740D33BCSD00_0_533x.jpg?v=1680643358,$10,https://us.brandymelville.com/products/chill-since-diamond-head-tote
Heart Charm Earrings,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/MU536B22R00888_0_533x.jpg?v=1679939306,$4,https://us.brandymelville.com/products/heart-charm-earrings-2
Mini Duffle Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/MU761F6A5R1V888_0_533x.jpg?v=1680622757,$48,https://us.brandymelville.com/products/mini-duffle-bag-1
Katherine Mesh Cap,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/MU8805SP033888_0_533x.jpg?v=1679939301,$14,https://us.brandymelville.com/products/katherine-mesh-cap-2
Monster Movies Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/MU740D33BDRA00_0_533x.jpg?v=1679520938,$10,https://us.brandymelville.com/products/monster-movies-tote-bag
Striped Socks,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/MU936B024SP888_0_533x.jpg?v=1680796236,$6,https://us.brandymelville.com/products/striped-socks
Electric Circus Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/MU740DG01ELC00_0_533x.jpg?v=1678154849,$10,https://us.brandymelville.com/products/electric-circus-tote
Electric Circus Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/MU740DG33ELC00_0_533x.jpg?v=1686853479,$10,https://us.brandymelville.com/products/electric-circus-tote-bag
Wallet,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/MU787F17000888_0_533x.jpg?v=1681734950,$15,https://us.brandymelville.com/products/black-wallet
Faux Leather Guitar Keychain,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/MU931BM22GT888_0_533x.jpg?v=1676582781,$6,https://us.brandymelville.com/products/faux-leather-guitar-keychain
Pearl Charm Bracelet,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/MU259D60B00888_0_533x.jpg?v=1676447289,$5,https://us.brandymelville.com/products/faux-pearl-charm-bracelet
Heart Charm Necklace,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU309J06000888_01_533x.jpg?v=1686682408,$6,https://us.brandymelville.com/products/heart-charm-necklace-2
