title,image_url,price,link
Ashlyn Striped Top,https://us.brandymelville.com/cdn/shop/files/MD034-166SJ5000B22_00_533x.jpg?v=1692202653,$20,https://us.brandymelville.com/products/ashlyn-striped-top-1
Emery Sweatshorts,https://us.brandymelville.com/cdn/shop/files/MJB050T-8002S0150000-0_533x.jpg?v=1692201913,$18,https://us.brandymelville.com/products/emery-sweatshorts
Skylar Tank,https://us.brandymelville.com/cdn/shop/files/MW922-8017S16200B38_0_533x.jpg?v=1692201505,$16,https://us.brandymelville.com/products/skylar-tank-2
Ahern Thermal Top,https://us.brandymelville.com/cdn/shop/files/MGZ328-1058S0020000_1_2e7bdc63-61ec-4ffb-bb76-719d7086b3cf_533x.jpg?v=1692195905,$23,https://us.brandymelville.com/products/copy-of-ahern-thermal-top-do-not-enable-ok
Estelle Cotton Top,https://us.brandymelville.com/cdn/shop/files/MJB033R-8002S1620000_1_0a96f574-6edd-4665-966d-61a74c05b002_533x.jpg?v=1692028728,$22,https://us.brandymelville.com/products/copy-of-estelle-cotton-top-do-not-enable-ok
Beyonca Eyelet Tank,https://us.brandymelville.com/cdn/shop/files/MCH570HL-1101S1620000-0_533x.jpg?v=1691798626,$16,https://us.brandymelville.com/products/beyonca-eyelet-tank
Skylar Cropped Eyelet Tank,https://us.brandymelville.com/cdn/shop/files/MW922-726S07100PF_01_533x.jpg?v=1691798697,$18,https://us.brandymelville.com/products/skylar-cropped-eyelet-tank
Matilda Tank Top,https://us.brandymelville.com/cdn/shop/files/MH631S-Z375M1620000_0_533x.jpg?v=1691715312,$24,https://us.brandymelville.com/products/matilda-tank-top
Rafaela Top,https://us.brandymelville.com/cdn/shop/files/MH657-Z334S0020000_0_533x.jpg?v=1691715341,$24,https://us.brandymelville.com/products/rafaela-top
Zoe V-Neck Cardigan,https://us.brandymelville.com/cdn/shop/files/MH560V-Q08S1620000_0_533x.jpg?v=1691798720,$32,https://us.brandymelville.com/products/zoe-v-neck-cardigan
Matilda Top,https://us.brandymelville.com/cdn/shop/files/MH631-Z375M1620000_0_533x.jpg?v=1691715352,$24,https://us.brandymelville.com/products/matilda-top
Roxy Top,https://us.brandymelville.com/cdn/shop/files/MH540-Z368S0010000_01_533x.jpg?v=1691715345,$24,https://us.brandymelville.com/products/roxy-top-1
Colette Sweater,https://us.brandymelville.com/cdn/shop/files/MNJ249-Q27S16200RS_0_533x.jpg?v=1691611185,$35,https://us.brandymelville.com/products/colette-sweater
Christy Plaid Hoodie,https://us.brandymelville.com/cdn/shop/files/MDA110Z-Z194SU7200Z290_0_533x.jpg?v=1691611160,$48,https://us.brandymelville.com/products/christy-plaid-hoodie-1
Beyonca Teddy Bear Crop Top,https://us.brandymelville.com/cdn/shop/files/MCH570H-686TS002V921AH_0_533x.jpg?v=1691531424,$18,https://us.brandymelville.com/products/beyonca-teddy-bear-crop-top
Ashlyn Teddy Bear Top,https://us.brandymelville.com/cdn/shop/files/MD034-166TS071V921AD_01_533x.jpg?v=1691531453,$20,https://us.brandymelville.com/products/ashlyn-teddy-bear-top-1
Laney Hearts Bra Top,https://us.brandymelville.com/cdn/shop/files/MB922-622PS07100VT11_0_533x.jpg?v=1691531480,$18,https://us.brandymelville.com/products/laney-hearts-bra-top
