title,image_url,price,link
Arden Crop Hoodie,https://us.brandymelville.com/cdn/shop/files/MH209-Z225S1620000-01_533x.jpg?v=1690979854,$35,https://us.brandymelville.com/products/copy-of-arden-crop-hoodie-july-2023-ok
Belle Long Tank,https://us.brandymelville.com/cdn/shop/files/MW919-166TSD4800QR4_0_533x.jpg?v=1689985092,$16,https://us.brandymelville.com/products/belle-long-tank
Navy Heart Socks,https://us.brandymelville.com/cdn/shop/files/MU919A02BSH888_0_533x.jpg?v=1691798647,$5,https://us.brandymelville.com/products/navy-heart-socks-1
Elizabeth Wool Button Vest,https://us.brandymelville.com/cdn/shop/files/MNJ234-Q14SB850000_0_533x.jpg?v=1689650217,$24,https://us.brandymelville.com/products/elizabeth-wool-button-vest
Amber Cotton Cable Knit Cardigan,https://us.brandymelville.com/cdn/shop/files/MH320R-Z275S0720000_0_533x.jpg?v=1689873396,$38,https://us.brandymelville.com/products/amber-cable-knit-sweater
Jolene Cardigan,https://us.brandymelville.com/cdn/shop/files/MH522-Z266S0720000_0_533x.jpg?v=1691178155,$28,https://us.brandymelville.com/products/jolene-cardigan
Corduroy Saddle Bag,https://us.brandymelville.com/cdn/shop/files/MU745F6AM33T888_0_533x.jpg?v=1688777108,$42,https://us.brandymelville.com/products/corduroy-saddle-bag
Izzy Floral Skirt,https://us.brandymelville.com/cdn/shop/files/MH361F-Z129S07100Z158_04_533x.jpg?v=1688344586,$38,https://us.brandymelville.com/products/izzy-floral-skirt-1
Brianna Cotton Thick Stripe Sweater,https://us.brandymelville.com/cdn/shop/files/MH320-Z037SZ13200551_0_5f29db77-d92a-418f-85ce-690e84db19e2_533x.jpg?v=1690521835,$38,https://us.brandymelville.com/products/brianna-cotton-thick-stripe-sweater
Edith Lace Tank,https://us.brandymelville.com/cdn/shop/products/MH421A-Z1213S00200PZ_10_533x.jpg?v=1681287291,$24,https://us.brandymelville.com/products/edith-lace-tank
Skylar Floral Crop Tank,https://us.brandymelville.com/cdn/shop/files/MW922-1101S54100V263A-03_533x.jpg?v=1691178152,$18,https://us.brandymelville.com/products/copy-of-skylar-crop-eyelet-tank
Black Bead Chain Necklace,https://us.brandymelville.com/cdn/shop/files/MU306J60NSS888_0_533x.jpg?v=1689812185,$14,https://us.brandymelville.com/products/stainless-steal-black-bead-chain-necklace
Emma Top,https://us.brandymelville.com/cdn/shop/files/MH597-Z166ST220000_01_533x.jpg?v=1691387779,$18,https://us.brandymelville.com/products/emma-top
Duffle Bag,https://us.brandymelville.com/cdn/shop/files/MU782D6APCD888_001_533x.jpg?v=1684859827,$55,https://us.brandymelville.com/products/corduroy-duffle-bag
Dalis Tank,https://us.brandymelville.com/cdn/shop/files/MC570BC-686TS00200AH-02_533x.jpg?v=1690979875,$16,https://us.brandymelville.com/products/marisa-tank-686-ts-2ah
Zelly Long Sleeve Top,https://us.brandymelville.com/cdn/shop/files/MW935HG-1008TSU260000_0_533x.jpg?v=1691611163,$23,https://us.brandymelville.com/products/zelly-long-sleeve-top
Matilda Top,https://us.brandymelville.com/cdn/shop/files/MH631-Z375M1620000_0_533x.jpg?v=1691715352,$24,https://us.brandymelville.com/products/matilda-top
Amara Lace Hearts Tank,https://us.brandymelville.com/cdn/shop/products/MH228P-58PS07100VT11-0_533x.jpg?v=1682070355,$20,https://us.brandymelville.com/products/white-tank-with-red-heart-and-lace-trim
Ida Cotton Cable Knit V-Neck Sweater,https://us.brandymelville.com/cdn/shop/files/MNJ201-Z275SZ2900TR1_01_533x.jpg?v=1691178132,$38,https://us.brandymelville.com/products/ida-cotton-cable-knit-v-neck-sweater
Floral Scrunchie,https://us.brandymelville.com/cdn/shop/files/MU65000500259Y_0_533x.jpg?v=1690413635,$3,https://us.brandymelville.com/products/scrunchie
Mckenna Striped Top,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MW994-58PSS140016_0_533x.jpg?v=1689985024,$18,https://us.brandymelville.com/products/mckenna-striped-top
Jordyn Halter Top,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MN867C-R01S07200MU_000_85249a07-d7b4-407f-8210-ce5ec68b8c9f_533x.jpg?v=1686329128,$21,https://us.brandymelville.com/products/copy-of-jordyn-halter-top
Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU789F27SR1M888_0_533x.jpg?v=1686866096,$40,https://us.brandymelville.com/products/faux-suede-boat-tote-with-leather-straps
Stella Sweater,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MNJ223G-Z231S0820000_01_533x.jpg?v=1689632068,$28,https://us.brandymelville.com/products/stella-sweater
Boy Short Floral Underwear,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/MY122P-58S07100V249L-3_533x.jpg?v=1681918850,$15,https://us.brandymelville.com/products/boy-short-floral-underwear
Nolan Sweater,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MH609-Z089S0720000_0_533x.jpg?v=1689526985,$35,https://us.brandymelville.com/products/nolan-sweater
Sandra Top,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MH649C-Z266S1620000_0_533x.jpg?v=1691030783,$24,https://us.brandymelville.com/products/sandra-top
Cross Necklace,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU393I209SS888_0_533x.jpg?v=1689209613,$14,https://us.brandymelville.com/products/stainless-steal-rhinestone-cross-necklace
Izzy Skirt,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/0-5_750x_666fd357-344a-4930-90e8-6bb810df12fa_533x.webp?v=1675690907,$32,https://us.brandymelville.com/products/izzy-skirt
Laney Bra Top,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MB922-622PSZ2700B_0_533x.jpg?v=1691030752,$16,https://us.brandymelville.com/products/laney-bra-top
Bonnie Top,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/M482A-58S1620000_0_533x.jpg?v=1690824900,$18,https://us.brandymelville.com/products/copy-of-bonnie-top-july-2022-ok
Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU782F27SR1M888_0_533x.jpg?v=1686866053,$50,https://us.brandymelville.com/products/extra-large-faux-suede-and-real-leather-tote-bag
Beyonca Lace Tank,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MCH570H-482PTSS9100PF_0_533x.jpg?v=1690327193,$18,https://us.brandymelville.com/products/beyonca-lace-tank-1
Brianna Cotton Thick Stripe Sweater,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MH320-Z037SH9300551_01_533x.jpg?v=1690478964,$38,https://us.brandymelville.com/products/copy-of-brianna-cotton-thick-stripe-sweater-july-2022-ok
Always On My Mind Heart Rope Choker,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU376J2AN00888_0_533x.jpg?v=1686779742,$8,https://us.brandymelville.com/products/silver-always-on-my-mind-heart-rope-choker
Cameron Cropped Sweater,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MDA175L-F03ST2200F12_0_533x.jpg?v=1691798664,$28,https://us.brandymelville.com/products/cameron-cropped-sweater
Christy Waffle Hoodie,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MDA110Z-Z39XSGGG0000_0_533x.jpg?v=1691178205,$38,https://us.brandymelville.com/products/christy-waffle-hoodie
Skyler Striped Tank,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MW922-58SS3800B16_0_533x.jpg?v=1690327243,$16,https://us.brandymelville.com/products/skyler-striped-tank
Camilla Sweater,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MH626-Z266SC050000_0_533x.jpg?v=1690666807,$32,https://us.brandymelville.com/products/camilla-sweater
Navy Heart Socks,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU919A02BLG888_0_533x.jpg?v=1691780815,$5,https://us.brandymelville.com/products/navy-heart-socks
